	C8 (1)	C8 (3)	Control (1)	Control (2)	Control (3)
fucA	-0.000328	-0.000240	0.000489	-0.000249	-0.000240
fucP	-0.000673	0.001466	0.000763	-0.000158	-0.000606
fucI	0.000056	0.000056	0.000056	-0.000112	0.000056
fucK	-0.001803	-0.000169	0.000979	-0.000169	-0.000812
fucU	0.000419	0.000174	0.000174	-0.000347	0.000174
fucR	0.030931	-0.002697	-0.032080	0.015193	0.015193
ygdE	0.004129	0.000483	0.000483	0.000483	-0.000967
ygdD	0.000916	-0.001719	-0.001719	0.003589	-0.001892
gcvA	0.009932	-0.009372	-0.020573	0.009932	0.009932
ygdI	0.206022	0.091901	0.021328	0.007232	-0.030178
csdA	-0.001370	-0.001370	0.002727	-0.001370	-0.001370
csdE	-0.008575	-0.008575	-0.008575	0.016874	-0.008804
ygdL	-0.000844	-0.000844	-0.000844	-0.001424	0.002259
mltA	-0.013459	-0.014716	0.031859	-0.014457	-0.019258
argA	0.089517	0.010205	-0.008982	-0.001439	0.010205
recD	-0.000020	-0.000073	0.000318	-0.000073	-0.000245
recB	-0.001482	-0.001482	0.003428	-0.001147	-0.002301
ptrA	0.000158	0.000132	0.000766	0.000158	-0.000926
recC	0.003490	0.000245	0.000245	0.000245	-0.000490
ppdC	0.025835	0.000204	0.000204	0.000503	-0.000708
ygdB	0.016127	0.016127	-0.038561	0.020000	0.016127
ppdA	-0.001907	-0.000299	0.000003	0.000295	-0.000299
thyA	-0.001246	-0.001246	-0.000162	-0.001246	0.001404
lgt	0.132460	-0.006471	-0.021452	-0.006731	0.026768
ptsP	0.018600	-0.002686	-0.003500	-0.002686	0.006120
rppH	-0.002823	-0.039535	0.002039	0.000768	-0.002823
mutH	-0.024919	-0.012319	0.023116	-0.012037	-0.012037
ygdQ	0.013163	-0.000815	0.000180	-0.000360	0.000180
ygdR	-0.000855	-0.000855	-0.000476	0.001687	-0.001217
tas	-0.008159	-0.003258	-0.003258	-0.003258	0.006443
lplT	-0.000260	-0.000297	0.000369	-0.000185	-0.000185
aas	-0.012236	-0.015746	0.030390	-0.015746	-0.016318
galR	0.001980	0.001980	-0.004234	0.002224	0.001980
lysA	0.001409	-0.021010	-0.004444	0.008754	-0.004444
lysR	-0.000076	-0.000076	-0.000076	0.000151	-0.000076
ygeA	0.000004	-0.000037	0.000428	-0.000433	0.000004
araE	0.000215	0.000209	0.000197	0.000097	-0.000294
kduD	-0.000635	-0.000586	0.000265	0.000933	-0.001200
kduI	-0.001407	-0.000789	-0.000789	-0.000789	0.001574
yqeF	-0.016110	-0.013107	0.014730	-0.007557	-0.007557
yqeG	0.000456	0.043884	0.001108	0.000456	-0.001568
yqeH	0.000112	0.049870	0.000112	0.000112	-0.000225
yqeI	-0.000559	0.005485	0.000000	0.000000	0.000000
yqeJ	0.023165	0.125698	-0.026856	0.005123	0.020403
yqeK	-0.000062	-0.000062	0.000876	-0.000062	-0.000815
ygeF	-0.010356	0.000704	-0.009622	-0.009622	0.018626
ygeG	-0.001693	0.080557	-0.001215	-0.001552	0.002754
ygeH	0.000258	0.000258	0.000556	-0.000619	0.000062
ygeI	-0.001180	0.009959	0.002122	-0.000272	-0.001860
pbl	-0.000507	-0.000122	0.000554	-0.000122	-0.000433
ygeK	-0.000044	0.000093	0.000093	0.000093	-0.000186
ygeK	-0.036884	0.173798	-0.040050	-0.035551	0.066956
b2857	-0.005995	0.025239	-0.004420	-0.005260	0.009521
ygeN	-0.011845	-0.010066	-0.009667	-0.006716	0.015929
ygeO	-0.006021	-0.004472	-0.006021	-0.006597	0.012350
b2862	-0.031258	-0.007977	-0.007977	-0.007977	0.015528
ygeQ	0.000000	0.000000	0.000000	0.000000	0.000000
xdhA	-0.001949	-0.001233	0.002455	-0.001233	-0.001233
xdhB	-0.000123	-0.000040	0.000535	-0.000243	-0.000293
xdhC	-0.000027	0.000015	0.000539	0.000132	-0.000672
ygeV	0.000111	0.000111	0.000111	-0.000222	0.000111
ygeW	-0.000097	-0.000097	0.000448	-0.000351	-0.000097
ygeX	0.000196	0.000137	0.000137	-0.000128	-0.000009
ygeY	0.000069	0.000069	0.000726	-0.000797	0.000069
hyuA	-0.000077	-0.000077	0.000363	-0.000077	-0.000286
yqeA	-0.000105	0.016483	0.000292	0.000063	-0.000356
yqeB	-0.003513	-0.003454	-0.003454	-0.003393	0.006768
yqeC	-0.000490	-0.000197	0.000394	-0.000197	-0.000197
ygfJ	-0.001842	-0.001853	-0.000959	-0.001916	0.002860
ygfK	-0.000354	-0.000369	0.000193	0.000490	-0.000683
ssnA	-0.005088	-0.000732	-0.000087	0.001421	-0.001338
ygfM	-0.000641	-0.000566	-0.000264	0.000828	-0.000566
xdhD	0.001248	0.001248	0.002205	-0.003474	0.001248
ygfO	0.000126	-0.000101	0.000126	0.000126	-0.000251
guaD	-0.003056	-0.002708	-0.002708	-0.002708	0.005367
ygfQ	0.000207	0.000075	0.000538	0.000002	-0.000542
ygfR	-0.004754	-0.004754	-0.004754	-0.008547	0.012995
ygfT	-0.008570	0.053678	-0.008570	-0.009223	0.017264
ygfU	-0.000982	0.029527	0.000828	-0.000651	-0.000179
idi	0.002437	0.000799	0.000799	0.000179	-0.000980
lysS	0.012367	0.001617	-0.003013	0.004128	-0.001146
prfB	-0.008546	-0.038949	0.005870	0.001113	-0.007081
recJ	-0.002444	-0.002444	0.005004	-0.002444	-0.002604
dsbC	0.013355	0.002633	0.005264	-0.008011	0.002633
xerD	-0.010626	-0.028806	0.020503	-0.010626	-0.010626
fldB	0.055180	-0.024402	0.002331	0.001249	-0.003602
ygfX	-0.001502	-0.009472	-0.001502	-0.001736	0.003220
ygfY	-0.000364	-0.000364	0.001283	-0.000364	-0.000922
ygfZ	0.020490	0.014700	-0.007158	0.003535	0.003535
yqfA	-0.000482	-0.001032	0.000110	-0.000499	0.000388
yqfB	0.011115	-0.004518	-0.004518	-0.004518	0.008897
bglA	0.048149	0.000087	0.000437	-0.000352	-0.000085
ygfF	-0.005047	-0.005047	0.001494	-0.005047	0.003507
gcvP	0.015330	-0.024057	0.000302	-0.000151	-0.000151
gcvH	-0.001783	-0.000563	-0.000563	0.001123	-0.000563
gcvT	0.042039	-0.014049	-0.013100	-0.003331	0.015927
visC	0.036490	-0.011725	0.001281	-0.002151	0.000862
ubiH	0.000000	-0.000389	0.000000	0.000000	0.000000
pepP	0.025018	-0.024713	0.001315	0.001315	-0.002642
ygfB	0.026456	-0.022634	-0.002745	-0.022209	0.023727
zapA	0.063849	-0.010066	0.001560	-0.003027	0.001451
ssrS	0.009910	-0.021377	-0.005010	0.002149	0.002817
ygfA	-0.003283	0.004797	0.000130	0.003751	-0.003914
serA	0.006116	0.006116	-0.004802	-0.008447	0.012946
rpiA	0.005766	-0.000196	-0.000084	0.000042	0.000042
yqfE	-0.021693	-0.020452	-0.016264	-0.020799	0.034837
argP	0.006279	0.002011	-0.004050	0.002011	0.002011
argK	0.000096	0.000096	0.000555	0.000024	-0.000580
scpB	-0.001114	-0.000834	-0.000425	0.001980	-0.001563
scpC	0.000033	0.004245	0.000442	-0.000292	-0.000150
yggE	0.000393	0.002993	0.000393	-0.000788	0.000393
argO	0.002074	0.002074	0.003168	-0.005051	0.001838
mscS	0.093236	0.082462	-0.004207	-0.001311	0.005461
fbaA	0.036774	-0.018827	-0.009638	0.004740	0.004740
pgk	0.068708	0.014201	-0.018766	-0.003589	0.021404
epd	0.025540	0.016067	-0.014091	-0.012889	0.025784
yggC	-0.000155	-0.005162	0.000311	-0.000155	-0.000155
yggD	-0.001842	-0.002589	-0.001842	0.003207	-0.001384
yggF	-0.000130	-0.000085	0.000637	-0.000553	-0.000085
b2931	0.000162	0.033270	0.000162	0.000162	-0.000323
yggP	-0.000407	-0.000407	0.000814	-0.000407	-0.000407
cmtA	-0.000779	0.000171	0.000171	-0.000342	0.000171
cmtB	0.000935	0.020632	0.000917	0.001901	-0.002832
tktA	-0.002949	-0.015148	-0.001151	0.002293	-0.001151
yggG	0.000022	0.004935	0.000519	-0.000225	-0.000295
speB	-0.003123	-0.002529	0.006124	-0.002005	-0.004187
speA	-0.007388	-0.044110	0.011981	-0.004848	-0.007388
yqgB	0.033188	0.001814	-0.003901	0.001937	0.001937
yqgC	0.000264	0.000818	0.000196	-0.000392	0.000196
yqgD	-0.001368	0.000048	0.000549	0.000048	-0.000598
metK	0.032764	0.017031	-0.018641	0.000876	0.017031
galP	-0.003908	0.000090	-0.003762	-0.003762	0.007427
yggI	-0.000176	-0.000080	0.000561	-0.000080	-0.000481
endA	-0.000859	-0.000859	-0.000519	0.001629	-0.001115
rsmE	-0.000641	-0.000641	0.000334	-0.000167	-0.000167
gshB	0.039692	-0.000282	0.000055	-0.000110	0.000055
yqgF	0.001509	-0.003028	-0.002848	0.006516	-0.003743
yggR	-0.002018	0.024581	0.000090	0.000090	-0.000181
yggS	-0.000017	-0.000017	-0.000017	0.000257	-0.000240
yggT	0.025455	-0.010059	-0.013682	0.006683	0.006683
yggU	0.000399	-0.002328	-0.000366	0.000730	-0.000366
rdgB	-0.010491	-0.030296	0.043535	-0.023263	-0.023781
yggW	-0.073052	-0.035548	0.005905	0.007795	-0.014035
yggM	-0.000091	-0.000091	0.000466	-0.000375	-0.000091
ansB	-0.007894	0.000554	0.000380	-0.000343	-0.000038
yggN	-0.002518	-0.007071	0.012323	-0.006945	-0.005647
yggL	-0.000868	-0.007015	-0.007571	0.008293	-0.000868
trmI	-0.000118	-0.043162	0.000336	0.000083	-0.000419
mutY	0.053049	-0.009295	-0.009295	-0.010019	0.018692
yggX	0.015831	0.007279	-0.039790	0.015831	0.021364
mltC	0.026153	0.000714	0.000714	0.000714	-0.001431
nupG	-0.000054	-0.000009	-0.000009	0.000208	-0.000198
speC	-0.002817	-0.000889	0.001773	-0.000889	-0.000889
yqgA	-0.000044	0.000031	0.000594	0.000034	-0.000629
yghD	0.000109	0.000174	0.000771	0.000109	-0.000882
yghE	-0.003807	-0.003885	-0.003246	-0.003807	0.006968
yghF	-0.003350	-0.003311	-0.003350	0.007176	-0.003916
yghG	-0.003619	-0.003267	0.006332	-0.002929	-0.003473
pppA	-0.012098	-0.012586	-0.011492	-0.011991	0.022572
b2973	-0.040026	0.038742	0.000698	-0.000053	-0.000646
b2974	-0.000733	-0.000237	0.001166	-0.000237	-0.000931
glcA	-0.000663	-0.000215	0.000430	-0.000215	-0.000215
glcB	0.013809	0.000177	0.000619	0.000177	-0.000797
glcG	0.024544	0.000672	0.000957	0.006906	-0.007992
glcF	0.056848	0.000181	0.000181	0.000181	-0.000362
glcD	0.041029	0.000462	0.000462	0.000462	-0.000926
glcC	-0.000094	-0.000050	0.000412	0.000267	-0.000679
yghO	-0.000012	0.003118	0.000575	-0.000105	-0.000470
yghQ	0.000000	0.000000	0.000000	0.000000	0.000000
yghR	-0.002069	-0.002014	-0.001482	-0.002014	0.003475
yghS	-0.005161	0.000152	0.000000	0.000000	0.000000
yghT	-0.007452	0.010621	-0.007390	-0.007658	0.014668
pitB	-0.000255	-0.000255	0.000925	-0.000353	-0.000574
gsp	-0.006432	-0.006432	-0.006432	-0.007243	0.013360
yghU	0.000691	0.024705	0.001315	0.000731	-0.002053
hybG	0.022647	0.024537	0.000648	-0.001298	0.000648
hybF	-0.000134	-0.000254	0.000459	-0.000134	-0.000326
hybE	-0.000071	-0.000391	0.000583	-0.000071	-0.000513
hybD	0.008138	-0.006193	-0.006193	-0.006828	0.012735
hybC	-0.002088	-0.002088	0.004820	-0.002088	-0.002772
hybB	-0.008930	-0.008843	-0.008366	0.016714	-0.008843
hybA	-0.006569	-0.008195	0.012847	-0.006569	-0.006569
hybO	0.000001	-0.000015	0.000594	-0.000190	-0.000405
yghW	-0.001505	-0.001113	-0.001113	-0.001113	0.002217
b2999	-0.005128	-0.005238	-0.004689	0.009936	-0.005420
b3000	0.068822	0.021350	0.000213	0.000213	-0.000427
yghZ	0.008159	0.000205	0.000205	-0.000224	0.000019
yqhA	-0.001591	-0.001591	-0.002942	0.004497	-0.001591
yghA	0.026975	0.000205	0.000205	0.000205	-0.000411
b3004	-0.004391	-0.002851	0.007426	-0.002851	-0.004673
exbD	-0.025030	-0.004221	0.014221	-0.007289	-0.007289
exbB	0.043544	-0.000687	0.000330	-0.000165	-0.000165
b3007	0.002184	0.002242	0.003332	-0.005629	0.002242
metC	-0.001871	-0.000953	-0.000559	-0.000953	0.001508
yghB	-0.002511	-0.002911	-0.002511	-0.002928	0.005388
yqhD	0.099737	0.034281	-0.014803	0.007300	0.007133
dkgA	0.068620	0.061501	0.001492	0.001492	-0.003000
yqhH	-0.000157	-0.000157	0.000831	-0.000157	-0.000675
b3015	0.053615	-0.002707	0.006314	-0.003384	-0.003000
ygiR	0.005086	0.005086	0.006961	0.005086	-0.012306
ftsP	0.002970	-0.001655	0.003637	-0.001840	-0.001820
plsC	0.002935	-0.002989	-0.001887	-0.006446	0.008204
parC	0.000389	0.000389	0.001027	0.000389	-0.001420
ygiS	-0.000869	-0.000379	-0.000379	0.000300	0.000079
ygiT	0.021663	-0.000683	0.000787	-0.000428	-0.000360
mqsR	0.000004	0.042960	0.000004	-0.000007	0.000004
ygiV	0.096698	0.039329	0.004295	-0.008259	0.003847
ygiW	0.164141	0.147492	-0.038333	0.004660	0.030880
qseB	-0.025102	0.016420	-0.023163	0.042921	-0.023163
qseC	0.004655	0.003851	0.004317	-0.008765	0.004317
ygiZ	-0.001286	0.094854	0.000000	0.000000	0.000000
mdaB	0.025861	0.028937	-0.043407	0.020178	0.020178
ygiN	0.010727	0.003434	0.003808	0.003434	-0.007334
parE	0.111598	-0.030282	0.004511	-0.002273	-0.002273
yqiA	-0.014158	-0.034272	0.027002	-0.014158	-0.014158
cpdA	0.000141	-0.004026	0.000069	-0.000137	0.000069
yqiB	0.001298	0.000000	0.000000	0.000000	0.000000
nudF	-0.001630	-0.001821	0.003242	-0.001630	-0.001630
tolC	0.054224	-0.003077	-0.005437	-0.009381	0.014441
ygiA	-0.000072	0.006924	0.000000	0.000000	0.000000
ygiB	-0.004265	-0.009716	-0.004265	0.008406	-0.004265
ygiC	-0.002850	0.000000	0.000000	0.000000	0.000000
ygiD	-0.008626	-0.008620	0.016142	-0.008302	-0.008302
zupT	0.028961	0.000000	0.000000	0.000000	0.000000
ribB	-0.011631	-0.013795	0.022367	-0.011631	-0.011631
yqiC	-0.022958	0.019021	-0.012832	0.007814	0.004734
ygiL	-0.004716	-0.004303	-0.004303	0.003705	0.000561
yqiG	-0.002669	-0.002778	-0.001925	-0.002748	0.004635
yqiH	-0.014635	-0.013180	-0.012562	-0.013180	0.024651
yqiI	-0.001149	0.043241	-0.000255	-0.000255	0.000509
glgS	0.063697	0.079385	-0.029606	0.014079	0.014079
yqiJ	0.020986	0.011447	0.000821	0.000821	-0.001647
yqiK	0.000336	0.001065	0.000999	0.000336	-0.001338
rfaE	-0.001245	-0.001245	-0.000850	0.002273	-0.001431
glnE	0.000197	0.000043	0.000499	0.000043	-0.000543
ygiF	-0.015205	0.008591	-0.003632	0.007175	-0.003632
htrG	0.041462	-0.008085	0.007216	-0.006677	-0.000651
cca	-0.000602	-0.027472	0.001719	-0.000602	-0.001123
bacA	-0.005321	-0.010964	-0.005026	-0.005321	0.010165
ygiH	0.083578	-0.000411	0.000456	-0.000340	-0.000117
ttdR	-0.007545	-0.006876	-0.006405	-0.006910	0.013016
ttdA	-0.001256	-0.001124	0.002551	-0.001124	-0.001438
ttdB	-0.002396	0.005071	-0.001188	0.004261	-0.003106
ttdT	-0.007946	-0.008193	-0.007946	-0.008265	0.015771
ygjD	-0.008638	-0.060135	-0.002898	0.011467	-0.008821
rpsU	0.024880	-0.000000	-0.000000	-0.000000	-0.000000
dnaG	-0.005522	-0.007565	-0.004637	0.009128	-0.004637
rpoD	0.014302	-0.002699	0.001364	-0.002741	0.001364
mug	0.005463	0.004758	-0.009478	0.004663	0.004663
yqjH	-0.000187	0.000064	0.000064	-0.000128	0.000064
yqjI	-0.010199	0.015699	-0.010062	-0.010187	0.019568
aer	-0.044769	-0.008317	-0.007976	-0.007976	0.015525
ygjH	-0.002801	0.095707	-0.002643	-0.003074	0.005661
ebgR	-0.000085	-0.000175	0.000170	-0.000085	-0.000085
ebgA	-0.006236	-0.005627	-0.005627	0.012177	-0.006812
ebgC	-0.003841	-0.003793	-0.003454	-0.003484	0.006855
ygjI	-0.000618	-0.000415	0.000793	-0.000069	-0.000725
ygjJ	-0.007681	-0.007264	-0.006801	-0.007264	0.013733
ygjK	-0.000527	0.035025	0.000491	-0.000151	-0.000341
fadH	0.000057	0.006862	0.000277	0.000057	-0.000334
ygjM	0.000195	0.000195	0.000195	0.000195	-0.000389
ygjN	0.009557	0.000881	0.002084	0.002084	-0.004197
rlmG	-0.000062	-0.000062	0.001318	0.000455	-0.001779
ygjP	0.054883	0.023657	-0.027373	0.013066	0.013066
ygjQ	0.000075	0.000075	0.000628	0.000075	-0.000705
ygjR	0.000002	0.031520	0.000429	-0.000248	-0.000182
sstT	0.072667	-0.004057	0.000000	0.000000	0.000000
ygjV	-0.000572	0.024347	-0.000572	-0.001285	0.001852
uxaC	0.000000	0.000000	0.000000	0.000000	0.000000
exuT	-0.000448	0.000035	0.000621	-0.000088	-0.000534
exuR	0.007606	-0.057993	0.000000	0.000000	0.000000
yqjA	-0.014272	-0.041751	0.027700	-0.014272	-0.014812
yqjB	0.000076	-0.002923	0.000613	0.000076	-0.000690
yqjC	0.013108	0.001948	0.001948	-0.000186	-0.001770
yqjD	0.039914	0.019785	-0.018049	0.009336	0.008165
yqjE	0.000591	0.000363	0.000591	0.000591	-0.001185
yqjK	0.068657	0.000202	0.000202	0.000251	-0.000453
yqjG	0.020284	0.030173	-0.010153	-0.010864	0.020284
yhaH	0.000019	-0.000148	0.000296	-0.000148	-0.000148
yhaI	-0.000295	0.000085	0.000085	0.000085	-0.000170
yhaJ	-0.002935	-0.005208	0.005552	-0.002491	-0.003115
yhaK	0.002377	0.010460	0.002377	-0.004793	0.002377
yhaL	-0.016963	-0.021621	-0.006526	-0.004662	0.010975
yhaM	-0.007286	0.002867	-0.021326	-0.009780	0.029459
yhaN	-0.000120	0.000166	0.000166	0.000396	-0.000562
yhaO	-0.000157	-0.000157	0.000991	-0.000172	-0.000820
yhaP	-0.000495	0.010193	0.000000	0.000000	0.000000
yhaQ	-0.000171	-0.000487	0.000342	-0.000171	-0.000171
tdcF	-0.000213	-0.000382	0.000468	-0.000255	-0.000213
tdcE	-0.001615	0.007536	-0.000617	0.002649	-0.002045
tdcD	-0.000384	-0.000319	0.000578	0.000001	-0.000579
tdcC	-0.000788	-0.000101	0.000470	-0.000101	-0.000369
tdcB	-0.003210	0.011001	-0.002783	-0.003695	0.006406
tdcA	-0.002188	-0.001723	-0.000517	-0.000996	0.001510
tdcR	-0.000749	0.000298	0.000972	0.000298	-0.001273
yhaB	-0.005890	-0.001383	-0.002386	-0.002386	0.004734
yhaC	-0.009112	-0.007947	0.014817	-0.007947	-0.007258
rnpB	-0.007874	-0.007874	0.001823	0.009659	-0.011752
garR	-0.000367	-0.000070	0.000346	-0.000276	-0.000070
garL	-0.000274	-0.000106	0.000451	-0.000106	-0.000346
garP	-0.000789	-0.000789	0.001575	-0.000789	-0.000789
garD	-0.000025	-0.000025	0.000438	-0.000025	-0.000413
sohA	0.010295	0.000929	0.001006	-0.002018	0.001006
yhaV	-0.000043	-0.000805	0.000086	-0.000043	-0.000043
kbaZ	-0.004970	0.000057	0.000057	0.000057	-0.000114
agaV	-0.000165	-0.000097	0.000638	-0.000334	-0.000304
agaW	0.001418	0.005162	0.002034	-0.003230	0.001177
agaA	-0.000118	-0.000118	0.000343	-0.000225	-0.000118
agaS	-0.001913	-0.001834	0.003787	-0.001978	-0.001834
kbaY	0.000072	0.002975	0.000698	0.000139	-0.000838
agaB	-0.008577	-0.006914	-0.006945	-0.008586	0.015125
agaI	-0.000083	0.001006	0.000551	-0.000083	-0.000469
yraH	-0.000247	-0.000215	0.001002	-0.000215	-0.000790
yraI	-0.000440	-0.000385	0.000565	-0.000283	-0.000283
yraJ	-0.001630	-0.000139	0.000277	-0.000139	-0.000139
yraK	0.000114	0.000114	0.000586	-0.000701	0.000114
yraL	-0.007985	-0.008289	-0.007466	0.016124	-0.009120
yraM	0.079552	-0.035354	-0.034764	0.026724	0.005807
yraN	0.002076	-0.010121	0.007357	-0.009606	0.002076
diaA	0.000138	-0.031642	0.000138	-0.000276	0.000138
yraP	0.001271	0.000067	0.000280	-0.000348	0.000067
yraQ	0.003469	-0.011387	-0.010655	0.021375	-0.011537
yraR	0.000142	0.000034	0.000401	-0.000009	-0.000393
yhbO	0.000179	0.000054	0.000337	-0.000391	0.000054
yhbP	0.001161	0.000110	0.000477	-0.000362	-0.000116
yhbQ	-0.001002	-0.000361	0.000420	-0.000059	-0.000361
yhbS	-0.004284	-0.007356	-0.007356	-0.008178	0.015129
yhbT	-0.000545	-0.000545	-0.000545	-0.000564	0.001107
yhbU	-0.000271	0.013163	0.000589	-0.000433	-0.000157
yhbV	-0.002488	-0.001744	-0.000706	0.003313	-0.002628
yhbW	0.129513	0.123903	-0.004613	0.001814	0.002762
mtr	-0.007377	-0.028655	-0.007377	0.019393	-0.012702
deaD	0.050837	-0.020942	-0.005810	0.011783	-0.006218
nlpI	0.023747	-0.054194	0.009567	-0.009448	-0.000327
pnp	-0.001185	-0.015824	0.000000	0.000000	0.000000
rpsO	0.077322	0.008764	-0.018077	0.008764	0.008764
truB	-0.004159	-0.045863	-0.003756	0.007898	-0.004252
rbfA	-0.005922	-0.006368	-0.006036	0.011825	-0.006036
infB	-0.001155	-0.003863	-0.002755	0.006090	-0.003400
nusA	-0.005932	-0.071179	0.003762	0.008177	-0.012203
yhbC	-0.004439	-0.043272	0.003933	0.000471	-0.004445
argG	0.004903	-0.000190	-0.012123	-0.000190	0.011978
yhbX	-0.000081	-0.000101	0.001063	-0.000101	-0.000965
secG	0.006886	-0.048945	0.018352	-0.009475	-0.009475
glmM	-0.008790	-0.008790	0.017065	-0.008790	-0.008790
folP	-0.000139	-0.002238	0.000385	-0.000139	-0.000247
hflB	0.102115	0.003477	0.000993	0.013149	-0.014587
rrmJ	-0.005265	-0.034991	0.012173	-0.006134	-0.006300
yhbY	0.028200	-0.007595	-0.007144	-0.013476	0.019891
greA	-0.015605	-0.078694	-0.010114	0.024614	-0.015605
dacB	0.028689	-0.000371	0.000230	-0.000057	-0.000174
obgE	0.009416	0.003497	-0.006884	0.003563	0.003240
yhbE	-0.015910	-0.042289	0.029372	-0.015071	-0.015861
rpmA	0.009709	0.003747	0.003459	0.003747	-0.007297
rplU	0.010841	-0.009940	0.001394	-0.002801	0.001394
ispB	0.047707	-0.007618	-0.018576	0.012311	0.005660
sfsB	-0.006264	-0.001518	0.003452	-0.001194	-0.002280
murA	0.000762	0.000762	-0.001529	0.000762	0.000762
yrbA	-0.005964	-0.005336	-0.000613	0.001223	-0.000613
yrbB	0.110138	0.000174	0.000174	0.000134	-0.000309
yrbC	0.087112	0.042048	-0.005522	0.002872	0.002597
yrbD	0.033165	0.028504	-0.003717	0.001847	0.001847
yrbE	0.022968	-0.000044	0.000353	-0.000044	-0.000309
yrbF	0.027234	-0.001754	0.000306	0.000295	-0.000601
yrbG	-0.000656	-0.000656	0.002977	-0.000656	-0.002338
kdsD	-0.001082	-0.011933	-0.001082	-0.001082	0.002156
kdsC	0.007599	-0.000002	0.001225	-0.000002	-0.001226
yrbK	0.001017	-0.052292	-0.023637	0.011771	0.010935
lptA	0.004850	-0.003871	0.001951	-0.003928	0.001951
lptB	-0.000604	-0.042359	0.000520	0.000083	-0.000604
rpoN	0.017399	-0.000618	0.000783	0.004542	-0.005383
hpf	-0.003868	-0.003868	-0.003868	0.007634	-0.003868
ptsN	-0.000563	-0.000563	-0.000563	0.001124	-0.000563
yhbJ	0.053841	0.001723	-0.003466	0.001723	0.001723
npr	-0.000037	-0.000037	0.000274	-0.000037	-0.000238
yrbL	0.073844	0.002692	0.005282	0.005282	-0.010761
mtgA	-0.005428	-0.005509	-0.006078	0.011283	-0.005428
elbB	0.001002	0.028364	0.001659	0.001002	-0.002673
arcB	0.003563	-0.001110	-0.000711	-0.000776	0.001483
gltB	-0.000151	-0.004513	0.004130	-0.002109	-0.002050
gltD	0.030938	0.000149	0.000149	-0.000299	0.000149
gltF	0.000463	0.053851	0.001002	-0.002012	0.001002
yhcA	-0.002318	-0.001525	0.003332	-0.001525	-0.001826
yhcD	-0.003372	-0.003356	0.007416	-0.003356	-0.004157
yhcE	0.033162	0.000000	0.000000	0.000000	0.000000
yhcF	0.000067	0.000011	0.000011	-0.000022	0.000011
yhcG	-0.001051	-0.001738	0.002763	-0.001330	-0.001447
nanK	-0.009829	-0.006724	-0.009829	-0.009829	0.019015
nanE	0.000384	0.017373	0.000868	-0.000940	0.000069
nanT	-0.000123	-0.000123	0.000509	-0.000123	-0.000387
nanA	0.000123	-0.000040	0.000616	-0.000230	-0.000386
nanR	-0.002296	-0.002296	-0.002296	-0.002296	0.004557
dcuD	-0.006219	-0.005883	-0.004911	0.002388	0.002482
sspB	-0.011894	-0.003886	0.000224	-0.002757	0.002517
sspA	0.092855	-0.047753	0.000000	0.000000	0.000000
rpsI	0.037054	-0.030187	-0.001475	0.000736	0.000736
rplM	0.004183	-0.026092	-0.001346	0.002680	-0.001346
yhcM	-0.007619	-0.033277	-0.006186	-0.001091	0.007173
yhcB	0.071700	0.025361	-0.004843	-0.030929	0.033355
degQ	0.002707	0.002707	0.003217	0.002707	-0.005985
degS	-0.005234	-0.005180	-0.004214	0.009243	-0.005180
mdh	0.036112	0.003019	-0.006343	0.003256	0.003019
argR	0.043497	0.017841	-0.038043	0.017841	0.017841
yhcN	0.346299	0.280834	-0.000694	0.026281	-0.027236
yhcO	0.041674	0.078005	-0.006636	0.003585	0.002975
aaeB	0.166622	0.026486	0.000868	0.000072	-0.000942
aaeA	0.067946	0.003100	0.000576	0.000002	-0.000579
aaeX	0.175190	0.001997	-0.000327	-0.001184	0.001507
aaeR	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000
tldD	0.000020	0.019726	0.000313	-0.000147	-0.000166
yhdP	0.000078	0.000078	0.000658	-0.000737	0.000078
yhdR	-0.030375	-0.060315	0.024600	0.004652	-0.031073
rng	0.007871	-0.027749	-0.003509	0.006933	-0.003509
yhdE	0.000009	0.000009	0.000344	-0.000353	0.000009
mreD	-0.011112	-0.011112	0.022689	-0.011112	-0.012499
mreC	0.025587	-0.013284	0.000380	-0.000028	-0.000353
mreB	-0.009366	-0.095385	-0.002059	-0.009366	0.011176
csrD	0.001110	0.001110	0.004118	0.002719	-0.006920
yhdH	0.046961	0.021672	0.001141	0.000273	-0.001419
b3254	-0.000018	-0.000018	0.000570	-0.000301	-0.000270
